File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
a5c799bc-1332-4127-8fda-84da04084d25	de01516e-43f0-4f96-8ac6-ab543a314829.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A26E	TCGA-A7-A26E-01B	Primary Tumor
586d9c21-e58a-4171-9755-30c0e8b16293	3ffa2cdf-4a54-4362-a6cf-b0567ef69551.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A2FO	TCGA-AC-A2FO-01A	Primary Tumor
4f54add3-c33d-4bc9-9e1f-c75f52d15f1e	2e4316d2-5fe5-4ee1-9b22-73f4c42b6202.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A1FE	TCGA-BH-A1FE-11B	Solid Tissue Normal
d5586fdb-d796-4176-84e3-11a72124b41f	f7efa9c4-e7e2-406a-98e5-596f787c810e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-D8-A1Y2	TCGA-D8-A1Y2-01A	Primary Tumor
dbe79158-b616-4c7b-94d7-5f127b3013ff	2dc9eaca-6dfc-4e7f-a12b-1495986e1ad4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A08P	TCGA-A8-A08P-01A	Primary Tumor
ef3ba95e-2251-43a6-8910-2bdfb02d22be	36bbebb5-ba1e-4ac6-83b2-67ccd05e4939.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A1G0	TCGA-A2-A1G0-01A	Primary Tumor
7baccc3d-54ba-4a3f-8ec0-b54ccd92df45	3d2bf709-b8ab-41c5-a8a0-dd42e7846c25.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1RA	TCGA-E9-A1RA-01A	Primary Tumor
f88ba6a1-27bf-43fa-a2c7-05db1eb9e8ea	cfba3fd3-4d84-46e6-9c12-8bf8481b35aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A1AO	TCGA-AR-A1AO-01A	Primary Tumor
467cc312-373e-4655-a07e-533ccb133b22	f4d60a0f-dc11-4005-8d59-7511ba4de8b1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1RD	TCGA-E9-A1RD-01A	Primary Tumor
934935ae-037b-451d-a696-0679b07bd401	90388468-c622-4114-971e-ab178e487493.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0DP	TCGA-BH-A0DP-11A	Solid Tissue Normal
79f97f73-b650-49cf-8654-53038a6c0de7	be880db8-920f-4bd8-9f67-34e3ddd61f2c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AO-A03L	TCGA-AO-A03L-01A	Primary Tumor
f94b47fb-764c-456f-946d-907a2fc154db	f72da140-1607-4609-a6bf-ebe538667a8c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A0YT	TCGA-A2-A0YT-01A	Primary Tumor
45bf52c6-b1a3-4f01-8345-a224fc195e18	5020cd67-6bd9-420c-bc6a-1cc8f2f78bde.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A04N	TCGA-A2-A04N-01A	Primary Tumor
839a4656-f2ce-4460-858a-8e6b314695ef	b36c0e8b-a9b1-46ac-8946-88e64a28ff5a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-D8-A146	TCGA-D8-A146-01A	Primary Tumor
2abc5233-1389-4efb-ba21-de05251ab25a	b31c9e1c-be79-4264-81a3-40b67f1f0bde.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A24S	TCGA-AR-A24S-01A	Primary Tumor
b8c05229-16e4-4888-9f44-556c5570a4af	1a3dcc95-64bf-4886-9807-9511b24f30af.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A2LM	TCGA-AR-A2LM-01A	Primary Tumor
e5b0c2dc-c652-40a0-bb80-d7e87830b406	8f8c9d55-303c-4099-8038-458e3e96ad4e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0DP	TCGA-BH-A0DP-01A	Primary Tumor
80d565a0-59f6-409e-8850-5d4e2b5b996d	9da89066-8d82-4ace-80e1-889d3c73c8eb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-B6-A1KI	TCGA-B6-A1KI-01A	Primary Tumor
8e475a5c-0a90-4c31-a472-b1ae0946633d	f5b6634d-5891-4550-bde6-7a0383e5e3da.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A1AL	TCGA-AR-A1AL-01A	Primary Tumor
6a40f728-eee2-4777-a8e0-67fd6f9f7927	c8e8f4e7-7aae-41f7-9d36-5938d2c2fc04.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AN-A0XP	TCGA-AN-A0XP-01A	Primary Tumor
c55e6460-fea1-468e-951e-bf45bbddd7a6	d0d2b8fc-6915-49fe-ae4a-f80e2d090cf5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A0CJ	TCGA-A7-A0CJ-01A	Primary Tumor
4660cd29-08ac-452c-9bb8-10e9d9e906ab	45f837c9-6b9e-4eed-ba56-9715b4a0356d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0BJ	TCGA-BH-A0BJ-01A	Primary Tumor
a9f49b86-3801-420d-915c-0e09a15c6e59	1b87d18e-4b47-47d0-a6de-1bb9eedb04c9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0BJ	TCGA-BH-A0BJ-11A	Solid Tissue Normal
b3b6d3bf-426f-4720-9adb-98783faa0eff	5782ee15-ce76-43d2-ba6c-e84284f4a99f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A4SF	TCGA-A7-A4SF-01A	Primary Tumor
111b2865-e7dc-45c9-b206-20b5713714bc	6798cbfe-7aca-4f33-b4fc-162bf579a303.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A08B	TCGA-A8-A08B-01A	Primary Tumor
515f8866-8744-44d8-9e4b-0e734d0c201b	c5d73777-b7f3-4107-9efc-afde92f70469.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-LL-A7T0	TCGA-LL-A7T0-01A	Primary Tumor
2a73e390-7415-486e-8d15-d9ea6ede09ba	5b875575-24fd-40c1-910c-38775c73004e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A5XS	TCGA-AC-A5XS-01A	Primary Tumor
d5358d17-4c49-46fa-8a96-4af9ab298ab4	8afeab3f-89ee-4901-8a32-d13587dbcab5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A5J0	TCGA-BH-A5J0-01A	Primary Tumor
8d558ae5-f3a1-49fa-aa44-5abc6244b57a	59c3ac05-7a99-4817-ae14-1584f2b7bf36.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E2-A1B4	TCGA-E2-A1B4-01A	Primary Tumor
a3039f53-9e11-4b53-b65e-ea5e14914ef0	d667391d-a4f9-40b8-9758-4b9246f49dfc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A0SY	TCGA-A2-A0SY-01A	Primary Tumor
ed76d903-de08-4060-ab15-b4add3c551f0	05ea028e-6b8a-4352-88aa-057494cf5e80.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AN-A046	TCGA-AN-A046-01A	Primary Tumor
461fda5d-d6e6-4354-b035-c302cc43b03f	30285113-d411-475a-a8ed-1fb66be72f28.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A226	TCGA-E9-A226-01A	Primary Tumor
ec67e25e-9cc6-45a7-a7c0-8dc778ae14c1	a068f661-e689-4e30-9572-3103039981aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A23C	TCGA-AC-A23C-01A	Primary Tumor
36a42825-dbc2-4dff-828c-e5008207d254	66116a4d-210d-45f8-8dba-3f8c79566ecc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0HI	TCGA-BH-A0HI-01A	Primary Tumor
84df6b33-7f6a-496d-8cd7-f523b07fd0bb	5b51c204-3342-46d9-86a4-2ed091492318.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0BF	TCGA-BH-A0BF-01A	Primary Tumor
be65c37e-7aa8-466d-a1fe-102e8e25e2e9	35120b68-e618-46a1-9641-1e635f633372.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A255	TCGA-AR-A255-01A	Primary Tumor
ec9437c2-dad0-471a-bd2c-faa61846af57	fb120cb4-2cee-4848-a60e-6c1fba723dc9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E2-A156	TCGA-E2-A156-01A	Primary Tumor
526d750f-3cab-4379-9b3e-1b7f9fa84528	8909b639-c15f-4935-a698-6de79c3d0433.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E2-A2P5	TCGA-E2-A2P5-01A	Primary Tumor
7e915086-4926-4670-9f43-e35e2d04d6c5	a091a049-ebb1-465c-bf2e-b2abd72e4901.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A3OD	TCGA-AC-A3OD-01A	Primary Tumor
0b798fe4-1c51-4c36-afc8-5bee39fd6077	e3142cf7-334f-4f34-a5da-53ffa4e1ba33.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1R0	TCGA-E9-A1R0-01A	Primary Tumor
6b62d6dd-bb6f-4f39-9041-992c47b875f3	d1f7678a-8106-46c9-95b7-5ec5d940f08c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-B6-A0RH	TCGA-B6-A0RH-01A	Primary Tumor
04a7cce8-c3b3-4994-9dac-c0e53099f37d	676cce88-9f6e-4490-8e73-c0e88bd00075.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A0TR	TCGA-AR-A0TR-01A	Primary Tumor
247f1d7d-fc33-4f35-aca7-60aa1c9631ad	ba42632e-b94c-4620-adcf-a0585652860f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1N5	TCGA-E9-A1N5-11A	Solid Tissue Normal
d9126541-4eb3-48fc-88ed-2e0ecea0d9d4	1880f86a-77c8-4eac-a3e7-a62f5edad8fb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1N5	TCGA-E9-A1N5-01A	Primary Tumor
3fafe34a-38e2-4645-af4e-0d77fd5464c1	e7e4c883-af18-41bf-9383-e5b9f354bc8d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-OL-A5S0	TCGA-OL-A5S0-01A	Primary Tumor
